trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,0,-26.132072897056208,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,12,3.3797297383004548,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,17,1.8647367538409647,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",30,0,-97.78726710094838,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,11,18.67707429824845,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,11,8.614849893514743,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",30,0,-76.86568178536955,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",35,15,18.779633378255866,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,12,2.8816663110581,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,16,7.396486323325084,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,0,0.8853067346163395,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-17.41666597444489,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,2,-18.256703953588072,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,6,-15.141330195977666,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,0,15.12055481905495,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,2,4.714795104661503,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",30,12,11.118674344514869,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,4,33.199737000513345,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,0,-63.96611867019668,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,14,11.67431607160761,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,11,13.156410960876933,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,17,14.15599792073487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,23,9.902807886471406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,12,-16.08223176634839,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,9,15.512171060733905,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,0,7.849138470405073,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,0,-74.5352349781407,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",30,14,3.5831224923432385,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,20,13.99196936496868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,0,-86.71234952004849,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,18,-15.100919046145416,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,12,14.368565613133624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,11,-20.707570832304214,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,0,5.524408114200155,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,4,26.771118090702448,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,0,31.23364641238021,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,20,8.203484504012591,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,0,-32.54515741764584,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",35,0,51.701612086385694,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,0,13.702647363751865,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,4,4.280977548362612,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",20,2,-35.49142923219895,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,7,-15.017349186830627,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",25,0,-9.914451530694976,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,9,19.476089851569462,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,2,-4.646251877311267,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,4,4.268488091879563,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",30,13,-38.153881384632356,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,10,-4.630865294732457,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,9,16.87999579478683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",30,18,19.47847011646957,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,7,20.139511589570514,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,12,14.961356726586674,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,11,-61.372773536919375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,0,30.85351772781718,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,16,6.039274057215717,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",30,11,-33.61282750675983,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,15,-10.46169759593738,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",30,21,14.536545436031831,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,0,-18.941070391258105,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,14,10.952464184086491,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,0,13.862008524180926,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,14,-26.0311835547635,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16365413680270405}",25,9,27.669834321126494,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
